384,71,11,25,1,4,0,0
384,97,13,20,1,4,0,0
384,126,9,29,1,4,0,0
384,167,21,25,1,4,0,0
384,192,19,28,1,4,0,0
368,245,40,43,1,4,0,0
289,408,47,50,1,4,0,0
293,303,66,42,1,4,0,0
299,288,56,21,1,4,0,0
147,247,45,41,1,4,0,0
165,240,40,3,1,4,0,0
192,529,69,47,1,4,0,0
192,549,65,51,1,4,0,0
71,528,80,48,1,4,0,0
0,624,97,48,1,4,0,0
163,750,77,114,1,4,0,0
576,777,99,87,1,4,0,0
912,819,109,62,1,4,0,0
1370,633,98,60,1,4,0,0
1585,624,96,49,1,4,0,0
554,604,70,116,1,4,0,0
528,432,48,48,1,4,0,0
495,357,50,55,1,4,0,0
443,218,21,31,1,4,0,0
491,307,38,52,1,4,0,0
480,240,30,49,1,4,0,0
432,159,24,33,1,4,0,0
432,119,17,40,1,4,0,0
416,96,31,24,1,4,0,0
