624,783,96,81,1,4,0,0
967,816,92,71,1,4,0,0
1413,652,98,60,1,4,0,0
1656,648,47,45,1,4,0,0
205,748,63,100,1,4,0,0
595,608,53,113,1,4,0,0
556,418,46,54,1,4,0,0
545,353,34,57,1,4,0,0
529,307,47,46,1,4,0,0
528,247,32,48,1,4,0,0
489,215,29,48,1,4,0,0
480,157,24,35,1,4,0,0
472,122,21,29,1,4,0,0
466,96,21,21,1,4,0,0
432,78,19,18,1,4,0,0
422,101,21,21,1,4,0,0
432,122,15,37,1,4,0,0
414,165,35,27,1,4,0,0
432,192,26,28,1,4,0,0
414,230,39,48,1,4,0,0
349,309,58,30,1,4,0,0
355,288,36,19,1,4,0,0
228,220,27,20,1,4,0,0
205,241,38,31,1,4,0,0
336,414,48,44,1,4,0,0
216,551,85,44,1,4,0,0
226,529,86,33,1,4,0,0
120,516,73,60,1,4,0,0
49,610,98,50,1,4,0,0
0,593,49,71,1,4,0,0
