816,816,113,48,1,4,0,0
1157,783,96,63,1,4,0,0
1488,672,96,48,1,4,0,0
672,625,49,116,1,4,0,0
389,768,60,78,1,4,0,0
288,689,59,88,1,4,0,0
69,554,75,48,1,4,0,0
144,552,96,56,1,4,0,0
303,506,81,37,1,4,0,0
336,487,55,25,1,4,0,0
215,480,73,48,1,4,0,0
412,368,48,46,1,4,0,0
635,407,40,73,1,4,0,0
624,336,28,48,1,4,0,0
624,288,24,48,1,4,0,0
604,240,20,21,1,4,0,0
576,240,21,48,1,4,0,0
576,153,17,39,1,4,0,0
560,120,23,27,1,4,0,0
554,96,23,23,1,4,0,0
512,144,27,26,1,4,0,0
508,192,27,21,1,4,0,0
528,122,3,22,1,4,0,0
506,96,33,15,1,4,0,0
297,205,39,40,1,4,0,0
336,192,5,17,1,4,0,0
437,288,50,21,1,4,0,0
435,249,45,39,1,4,0,0
49,1008,98,57,1,4,0,0
