528,768,96,96,1,4,0,0
528,624,48,96,1,4,0,0
864,816,96,57,1,4,0,0
1344,624,51,48,1,4,0,0
96,768,61,96,1,4,0,0
96,576,96,48,1,4,0,0
107,535,85,41,1,4,0,0
0,528,59,51,1,4,0,0
240,432,9,48,1,4,0,0
297,240,39,48,1,4,0,0
240,297,48,39,1,4,0,0
240,288,48,48,1,4,0,0
96,240,5,48,1,4,0,0
96,240,11,0,1,4,0,0
295,192,41,48,1,4,0,0
293,192,43,0,1,4,0,0
295,109,41,35,1,4,0,0
347,107,37,37,1,4,0,0
384,144,0,48,1,4,0,0
384,201,1,42,1,4,0,0
432,240,0,48,1,4,0,0
432,336,48,3,1,4,0,0
433,343,47,54,1,4,0,0
480,432,7,48,1,4,0,0
1536,624,96,48,1,4,0,0
